link,text,date,No_of_Likes,No_of_tweets
https://twitter.com/Jess75833164/status/1755348084677071216#m,It’s obvious. The BDA warned that NHS Dentistry was underfunded for years.   #UK #ConservativeParty @LBCNews @guardiannews @carolvorders,"Feb 7, 2024 · 9:49 PM UTC",1,0
https://twitter.com/OmarShakti/status/1755343787948134434#m,Totally inappropriate and vile response but thats what the hateful anti immigrant hard right wing #CONservativeParty represent. Yet they were once immigrants too #ResignSunak. So many others wanting his job! The #backstabbing will like the #Traitors commence in the dark of night,"Feb 7, 2024 · 9:32 PM UTC",3,0
https://twitter.com/BikerBham/status/1755341496360845773#m,"Liz Truss, blink and you'll miss it government, wrecked havoc on the British economy, and you, in just 44 days. No wonder the UK is broken after 14 years of Conservative rule. #GeneralElectionN0W #ConservativeParty #ToriesUnfitToGovern","Feb 7, 2024 · 9:23 PM UTC",0,0
https://twitter.com/gffcontwitch/status/1755340528428736639#m,All these people waiting a fucking joke #NHS #tories #ConservativeParty,"Feb 7, 2024 · 9:19 PM UTC",0,0
https://twitter.com/MCY1X/status/1755339785126793368#m,#ConservativeParty #Tories #Tory,"Feb 7, 2024 · 9:16 PM UTC",0,0
https://twitter.com/MCY1X/status/1755339598186606646#m,#VoteConservative? #ConservativeParty #Tories #Tory,"Feb 7, 2024 · 9:15 PM UTC",0,0
https://twitter.com/MissCailinDana/status/1755339037441740864#m,Hmmm “Labour is ditching its policy of spending £28bn a year on its green investment plan in a major U-turn!”  Wonder if related? #partypolicticalbroadcast #ConservativeParty v #LabourParty,"Feb 7, 2024 · 9:13 PM UTC",0,0
https://twitter.com/mrmodernape/status/1755338654816379218#m,Take the hint! #ConservativeParty,"Feb 7, 2024 · 9:12 PM UTC",0,0
https://twitter.com/gffcontwitch/status/1755336773469954361#m,Chop his fucking ears off monkey faces Asian bastard #RishiSunak #ConservativeParty,"Feb 7, 2024 · 9:04 PM UTC",0,0
https://twitter.com/ThorntonWa47373/status/1755153967410024792#m,DO YOU WANT TO MAKE A DIFFERENCE ?  @Abridgen #parliamentelection2024 #parliament #SunakOut #Sunak #ConservativeParty #AndrewBridgen #MP #vaccines #ExcessDeaths #Pfizer,"Feb 7, 2024 · 8:58 AM UTC",23,4
https://twitter.com/OmarShakti/status/1755335636314210404#m,The #CONservativeParty are on the same page and mindset  as in the days of #OscarWilde and #AlanTuring. #GeneralElectionNow,"Feb 7, 2024 · 9:00 PM UTC",0,0
https://twitter.com/gffcontwitch/status/1755334012648796507#m,Death to the #ConservativeParty,"Feb 7, 2024 · 8:53 PM UTC",1,0
https://twitter.com/MJ64484750/status/1755331193061470417#m,The #ConservativeParty must recognise that Sunak's tactic of repeating literally the same slogans in response to Starmer's questions at the last few PMQs without thinking are the indication of a man who ran out of road a long time ago: the gaffs won't end here. New leader now.,"Feb 7, 2024 · 8:42 PM UTC",1,0
https://twitter.com/simon_ball46/status/1755329894676881914#m,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Broadsheet_and_former_broadsheet_newspapers cos they are still reading the #ConservativeParty biased #newspapers,"Feb 7, 2024 · 8:37 PM UTC",1,0
https://twitter.com/TelfordManUK/status/1755327280870547925#m,I don't discriminate. I hate everyone equally. #PMQs #RishiSunak #KeirStarmer #LabourParty #ConservativeParty #RwandaBet #Westminster #WESTMIDLANDS #London,"Feb 7, 2024 · 8:26 PM UTC",0,0
https://twitter.com/Murlio/status/1755325124406833603#m,Is he imploding the #ConservativeParty on purple 🧐,"Feb 7, 2024 · 8:18 PM UTC",0,0
https://twitter.com/chapzsnapz/status/1755324093665095776#m,Unbelievable that the conservatives have done this before during the trial and more unbelievable that the uk hasn’t taken notes from the French and cut their heads off.  #ukgovernment #ConservativeParty #sunak,"Feb 7, 2024 · 8:14 PM UTC",1,0
https://twitter.com/trevorfeelgood/status/1755322916235862232#m,#RishiSunak #ConservativeParty,"Feb 7, 2024 · 8:09 PM UTC",0,0
https://twitter.com/AmyLilyTho/status/1755320161412772179#m,#RishiSunak should be shamed for that 'joke'.   For every day he remains in power the #ConservativeParty is complicit in the harm and danger 'jokes' like that pose to people in this country.   Privilege bought them a life of not knowing the pain Brianna's family is going through.,"Feb 7, 2024 · 7:58 PM UTC",0,1
https://twitter.com/gozzand/status/1755319930268868754#m,#ConservativeParty  CON-servative party more like,"Feb 7, 2024 · 7:57 PM UTC",0,0
https://twitter.com/gonzalodurannyc/status/1755313819545423938#m,"The @BX_Conservative was honored to welcome members of the @BKConservatives here in the Bronx to discuss collaboration on future projects. Together, we can achieve great things for our communities.   #Collaboration #Bronx #Brooklyn #ConservativeParty @cpnys","Feb 7, 2024 · 7:33 PM UTC",7,0
https://twitter.com/HereTweetsDH/status/1755317080163766342#m,"Looking at the #Tories and how they are behaving in their dying days, I wonder how the Nazis behaved in their dying days 🤔 Hatred unchanged Scapegoating unchanged Vilifying everybody unchanged  #ToryBrokenBritain #ToriesaAreOutOfControl #PMQs #ConservativeParty","Feb 7, 2024 · 7:46 PM UTC",2,0
https://twitter.com/BenCronin8/status/1755316745496076641#m,#ConservativeParty,"Feb 7, 2024 · 7:44 PM UTC",0,0
https://twitter.com/anneryan21/status/1755315314588299603#m,The #ConservativeParty cruel and incompetent.#GeneralElectionNow #NeverAgain,"Feb 7, 2024 · 7:39 PM UTC",0,0
https://twitter.com/BX_Conservative/status/1755314827780555025#m,"The Bronx County Conservative Party was honored to welcome members of the Brooklyn ConservativeParty here in the Bronx to discuss collaboration on future projects. Together, we can achieve great things for our communities.   #Collaboration #Bronx #Brooklyn #ConservativeParty","Feb 7, 2024 · 7:37 PM UTC",0,0
https://twitter.com/MCY1X/status/1755314044955677049#m,The voters in #LouthandHorncastle must be so proud of #VictoriaAtkins!  #Louth #Horncastle #Lincolnshire #Tories #Lincs #ConservativeParty,"Feb 7, 2024 · 7:34 PM UTC",0,0
https://twitter.com/OmarShakti/status/1755313344381104551#m,They've all complicit in their attack against trans people. #ToryCrimeSyndicate #CONservativeParty,"Feb 7, 2024 · 7:31 PM UTC",0,0
https://twitter.com/MCY1X/status/1755313322428162323#m,#Hunters #Tories #Hunt #ConservativeParty,"Feb 7, 2024 · 7:31 PM UTC",0,0
https://twitter.com/MCY1X/status/1755313115124662476#m,"The #ConservativeParty, although always on #theright, used to be fairly respectable.  In the 1980s/90s those who disgraced themselves did the decent thing and resigned. Today’s #Tories are a pale shadow of those who have gone before them.  They’re a dreadful bunch of people!","Feb 7, 2024 · 7:30 PM UTC",0,0
https://twitter.com/MCY1X/status/1755312037972869410#m,#Tories #ConservativeParty,"Feb 7, 2024 · 7:26 PM UTC",2,0
